Date,Close
1/4/2016,62.58
1/5/2016,63.55
1/6/2016,63.75
1/7/2016,61.36
1/8/2016,60.18
1/11/2016,58.52
1/12/2016,58.52
1/13/2016,56.4
1/14/2016,57.36
1/15/2016,57.1
1/19/2016,57.32
1/20/2016,58.03
1/21/2016,57.29
1/22/2016,58.86
1/25/2016,57.66
1/26/2016,58.66
1/27/2016,56.55
1/28/2016,55.85
1/29/2016,58.95
2/1/2016,59.62
2/2/2016,56.55
2/3/2016,57.33
2/4/2016,57.69
2/5/2016,55.76
2/8/2016,52.54
2/9/2016,52.47
2/10/2016,54.48
2/11/2016,54.9
2/12/2016,56.8
2/16/2016,58.1
2/17/2016,59.19
2/18/2016,58.01
2/19/2016,59.16
2/22/2016,61.46
2/23/2016,60.58
2/24/2016,61.89
2/25/2016,62.38
2/26/2016,61.6
2/29/2016,60.95
3/1/2016,62.71
3/2/2016,62.22
3/3/2016,62.96
3/4/2016,63.26
3/7/2016,60.53
3/8/2016,58.93
3/9/2016,59.27
3/10/2016,59.83
3/11/2016,60.16
3/14/2016,58.93
3/15/2016,58.47
3/16/2016,59.08
3/17/2016,59.9
3/18/2016,59.35
3/21/2016,59.48
3/22/2016,59.62
3/23/2016,59.67
3/24/2016,60.17
3/28/2016,60.09
3/29/2016,62.96
3/30/2016,62.78
3/31/2016,65.3
4/1/2016,65.15
4/4/2016,64.77
4/5/2016,65.15
4/6/2016,70.86
4/7/2016,71.74
4/8/2016,72.2
4/11/2016,72.29
4/12/2016,71.81
4/13/2016,75.68
4/14/2016,75.3
4/15/2016,75.69
4/18/2016,76.92
4/19/2016,76.6
4/20/2016,76
4/21/2016,74.27
4/22/2016,73.29
4/25/2016,73.29
4/26/2016,73.19
4/27/2016,74.75
4/28/2016,72.81
4/29/2016,72.18
5/2/2016,73.26
5/3/2016,73.06
5/4/2016,72.63
5/5/2016,72.31
5/6/2016,72.86
5/9/2016,73.04
5/10/2016,74.3
5/11/2016,74.07
5/12/2016,74.37
5/13/2016,74.24
5/16/2016,74.35
5/17/2016,74.15
5/18/2016,74.28
5/19/2016,74.2
5/20/2016,74.95
5/23/2016,74.9
5/24/2016,77.22
5/25/2016,76.26
5/26/2016,76.37
5/27/2016,77.11
5/31/2016,77.69
6/1/2016,77.71
6/2/2016,78.92
6/3/2016,76.06
6/6/2016,77.15
6/7/2016,76.94
6/8/2016,76.32
6/9/2016,76.6
6/10/2016,74.74
6/13/2016,73.78
6/14/2016,73.74
6/15/2016,74.06
6/16/2016,74.54
6/17/2016,73.99
6/20/2016,75.1
6/21/2016,74.88
6/22/2016,74.26
6/23/2016,75.89
6/24/2016,70.27
6/27/2016,67.48
6/28/2016,69.76
6/29/2016,70.84
6/30/2016,71.38
7/1/2016,71.74
7/5/2016,71.86
7/6/2016,72.06
7/7/2016,71.8
7/8/2016,73.54
7/11/2016,74.8
7/12/2016,75.44
7/13/2016,75.68
7/14/2016,76.48
7/15/2016,76.72
7/18/2016,76.76
7/19/2016,76.77
7/20/2016,77.92
7/21/2016,77.21
7/22/2016,77.81
7/25/2016,78.32
7/26/2016,79.23
7/27/2016,78.43
7/28/2016,78.19
7/29/2016,74.66
8/1/2016,73.71
8/2/2016,71.5
8/3/2016,73.16
8/4/2016,73.56
8/5/2016,74.54
8/8/2016,73.94
8/9/2016,74.89
8/10/2016,74.71
8/11/2016,74.85
8/12/2016,74.69
8/15/2016,74.94
8/16/2016,73.53
8/17/2016,74.22
8/18/2016,74.16
8/19/2016,74.75
8/22/2016,75.42
8/23/2016,76.25
8/24/2016,75.5
8/25/2016,76.61
8/26/2016,76.14
8/29/2016,75.92
8/30/2016,76.45
8/31/2016,75.95
9/1/2016,76.82
9/2/2016,76.32
9/6/2016,76.71
9/7/2016,76.43
9/8/2016,76.27
9/9/2016,73.62
9/12/2016,74.59
9/13/2016,73.18
9/14/2016,73.52
9/15/2016,76.05
9/16/2016,74.3
9/19/2016,74.44
9/20/2016,74.43
9/21/2016,76.33
9/22/2016,76.05
9/23/2016,75.42
9/26/2016,75.62
9/27/2016,76.08
9/28/2016,76.78
9/29/2016,76.09
9/30/2016,76.76
10/3/2016,77.12
10/4/2016,76.44
10/5/2016,79.04
10/6/2016,78.98
10/7/2016,76.01
10/10/2016,75.6
10/11/2016,73.7
10/12/2016,73.81
10/13/2016,73.35
10/14/2016,73.04
10/17/2016,73.01
10/18/2016,74.21
10/19/2016,74.37
10/20/2016,73.59
10/21/2016,72.88
10/24/2016,74.06
10/25/2016,73.27
10/26/2016,73.66
10/27/2016,72.47
10/28/2016,72.59
10/31/2016,72.52
11/1/2016,71.75
11/2/2016,70.63
11/3/2016,70.48
11/4/2016,70.81
11/7/2016,71.82
11/8/2016,72.63
11/9/2016,72.81
11/10/2016,70.93
11/11/2016,69.49
11/14/2016,66.57
11/15/2016,68.05
11/16/2016,69.94
11/17/2016,69.76
11/18/2016,70.71
11/21/2016,71.99
11/22/2016,71.72
11/23/2016,72.09
11/25/2016,72.09
11/28/2016,71.54
11/29/2016,70.59
11/30/2016,68.55
12/1/2016,66.42
12/2/2016,68.13
12/5/2016,69.73
12/6/2016,69.9
12/7/2016,70.87
12/8/2016,71.78
12/9/2016,72.19
12/12/2016,71.24
12/13/2016,71.85
12/14/2016,71.46
12/15/2016,70.63
12/16/2016,70.29
